user_id,fruit,scenario,pool,train,test,auc_mean,auc_std,auc_mean_train,auc_std_train,log_loss
ID5,Melon,Crave,global_supervised,190,30,0.47804431971822575,0.14671653712615387,0.6750385546626708,0.05078942013786414,0.52614597811524
ID10,Carrot,Crave,global_supervised,170,16,0.5994087987857062,0.23379004500545197,0.646667691483545,0.05215924999246728,0.6200049636159155
ID10,Nectarine,Crave,global_supervised,327,16,0.7811528120912659,0.15830316783577414,0.864144959686209,0.0230402130193298,0.5611594967359965
ID10,Nectarine,Use,global_supervised,351,18,0.68434299440397,0.21395345612553018,0.6706199648379497,0.03458170144611143,0.46932337775760163
ID10,Carrot,Use,global_supervised,339,14,0.40224188751627776,0.32159528335927007,0.6518659381501881,0.036713547593981724,0.6095707668355692
ID11,Carrot,Crave,global_supervised,170,2,,,0.6056770774176377,0.05407912421044028,0.710716385855867
ID11,Carrot,Use,global_supervised,339,3,0.5,0.0,0.659463930583267,0.03650766759660776,0.6406315961815724
ID11,Nectarine,Use,global_supervised,351,6,0.5,0.0,0.6821311831774811,0.034120742550366644,0.4644810387716793
ID11,Almond,Use,global_supervised,158,3,0.5,0.0,0.7233199862292847,0.05871002618073618,0.6365242327677743
ID12,Melon,Crave,global_supervised,190,7,0.6033374792703151,0.35333526199878196,0.5994051916394015,0.05332660418952874,0.9383052765438161
ID12,Nectarine,Crave,global_supervised,327,6,0.3277078565980167,0.3328917603367452,0.5412218723267722,0.037950054750220306,0.7063688243366255
ID12,Melon,Use,global_supervised,219,20,0.5043478362922807,0.19394997727735547,0.6358736031303739,0.044992743843096136,0.7760321754494391
ID12,Nectarine,Use,global_supervised,351,6,0.43974065598779555,0.374901806487852,0.6821311831774811,0.034120742550366644,0.8569831958464955
ID12,GHB,Use,global_supervised,10,4,0.5127860026917901,0.43301819987277895,0.861007591442374,0.18821085124116513,0.693324337537861
ID13,Nectarine,Use,global_supervised,351,29,0.6435982097355258,0.12745451212312114,0.5968898562578248,0.036833819430051415,0.6783046749878936
ID13,Carrot,Use,global_supervised,339,8,0.5459876543209877,0.26681555139628543,0.631558033785901,0.03778158543274384,0.6862158833864476
ID13,Almond,Use,global_supervised,158,13,0.4655834741690692,0.2088621804384196,0.6215913092294102,0.06508951884015941,0.6986750163882957
ID14,Carrot,Crave,global_supervised,170,10,0.43243336794738657,0.2641191946453964,0.6269402232322168,0.05396960611429399,0.7638181208568089
ID14,Carrot,Use,global_supervised,339,28,0.6576911016883443,0.13801829152103232,0.6405539423873561,0.03698397927230472,0.6788984770152172
ID15,Carrot,Crave,global_supervised,170,16,0.5596961519479072,0.20369235010472792,0.6158809156441765,0.05275747904565198,0.7898704495564278
ID15,Carrot,Use,global_supervised,339,27,0.6782172885121415,0.13732330341142185,0.631558033785901,0.03778158543274384,0.6831501305939788
ID18,Carrot,Use,global_supervised,339,13,0.5911049688035432,0.24211943627701948,0.631558033785901,0.03778158543274384,0.6841270746784756
ID18,Carrot,Crave,global_supervised,170,11,0.8567831449126413,0.1598742350912647,0.6124795235414522,0.05440370704877889,0.738935996878904
ID19,Melon,Crave,global_supervised,190,11,0.7100665936872834,0.1706871372441263,0.71592138058313,0.045258808815022485,0.2511549066136433
ID19,Almond,Crave,global_supervised,29,13,0.6506259204712813,0.18205397510361554,0.849371844397835,0.10258221981885601,0.42971296541522264
ID19,Melon,Use,global_supervised,219,13,0.500970150443042,0.22169450937381893,0.6577967266117746,0.04401545884301257,0.727756682224727
ID19,Almond,Use,global_supervised,158,13,0.30932705371640656,0.211616452737841,0.7567562383067352,0.057697725085815776,0.917200491734811
ID20,Melon,Use,global_supervised,219,11,0.16544447394819142,0.18252203030620084,0.6306827475293759,0.04509220597277767,0.8869192575302545
ID20,Nectarine,Use,global_supervised,351,13,0.11551089701774633,0.15227853605889388,0.7938706326404704,0.029261537714788476,5.617736400756464
ID20,Nectarine,Crave,global_supervised,327,5,1.0,0.0,0.6947856504599961,0.03401067443061935,0.6604393736175401
ID21,Nectarine,Use,global_supervised,351,19,0.7951288931730256,0.13343718849087322,0.5861105968320925,0.036518930658553564,0.6722845820217188
ID21,Melon,Crave,global_supervised,190,11,0.4418439716312057,0.24961184556085433,0.6230437363893773,0.051833692760643715,0.7380252424980462
ID21,Nectarine,Crave,global_supervised,327,84,0.6510780385197809,0.08194435071365891,0.7465368957185219,0.032130565488379746,0.7163438975154806
ID25,Almond,Use,global_supervised,158,27,0.601720701955996,0.30029371713863934,0.703011661041202,0.06021630785872241,0.47681580671485996
ID26,Carrot,Use,global_supervised,339,30,0.6260513456381991,0.06214303505739016,0.8128583328327017,0.030045330762446136,0.14753545181690883
ID27,Melon,Use,global_supervised,219,11,0.4578465215082315,0.3790093839705339,0.565715711356943,0.04578272444061954,0.6862609749986792
ID27,Nectarine,Use,global_supervised,351,34,0.5466036415745346,0.12131784242975038,0.6706199648379497,0.03458170144611143,0.8082753852414755
ID27,Melon,Crave,global_supervised,190,15,0.605999406111651,0.3209786275834996,0.5923658461597223,0.04996188490982656,0.6753059954355075
ID27,Nectarine,Crave,global_supervised,327,14,0.5344924727558701,0.20596470182720075,0.5412218723267722,0.037950054750220306,0.6830497610455107
ID28,Coffee,Use,global_supervised,30,7,0.9235963041933192,0.15599776829225923,0.8004612054712287,0.10768664410108793,0.4940648659376543
ID28,Almond,Use,global_supervised,158,6,0.7349448685326548,0.31001715097607824,0.7458691817600132,0.0580658878826482,0.5685338073694725
