task,user,len_df_train,pos,neg,len_df_val,pos_val,neg_val,len_df_test,pos_test,neg_test
bp,10,75,1,74,20,2,18,16,1,15
bp,15,219,180,39,86,67,19,79,69,10
bp,20,138,102,36,46,31,15,34,27,7
bp,22,110,72,38,24,18,6,45,34,11
bp,23,116,18,98,61,7,54,43,1,42
bp,24,124,100,24,51,47,4,43,34,9
bp,25,170,104,66,69,37,32,68,51,17
bp,26,137,100,37,59,49,10,35,17,18
bp,30,248,187,61,90,68,22,102,87,15
bp,31,217,66,151,84,20,64,81,22,59
bp,32,24,22,2,5,5,0,13,7,6
bp,33,126,115,11,45,39,6,43,33,10
bp,34,12,12,0,4,4,0,9,8,1
bp,35,82,82,0,72,68,4,62,59,3
bp,39,130,100,30,42,36,6,50,37,13
